name,n_test,LR_MAE,LR_RMSE,LR_R2,RF_MAE,RF_RMSE,RF_R2
CTSH,249,0.45292423278897853,0.6367706740180262,0.9885441816669657,0.45526845785077175,0.6365856029144624,0.988550839740048
PG,249,0.45221797506947475,0.6750861424406503,0.9141832096350602,0.4559405479653467,0.6766365517933552,0.9137885816629846
AIG,249,0.45263834662393015,0.6932540822382669,0.8588561395707464,0.45756059184692,0.6954020499915484,0.8579801486721914
MS,249,0.4583807115299839,0.6163737701445197,0.976952809076346,0.45998214229251083,0.6190902611820783,0.9767492136187892
AFL,249,0.45262638897194124,0.7332931413155226,0.9836339069412514,0.4634879132809632,0.7355849282356118,0.9835314480259884
NOV,249,0.4654391948227962,0.6170594756027185,0.9516483109691563,0.4636492931402755,0.6159899489429574,0.9518157781453817
DUK,249,0.46874405370869465,0.6004640862164493,0.9659822458084086,0.4701686924655743,0.5991910967752905,0.9661263288275043
O,245,0.46626312303613976,0.6140116707438751,0.9339438150468262,0.4719809280899527,0.6162211511465404,0.9334675620746711
GIS,249,0.47299286153108483,0.6617135077232962,0.9467193326600717,0.4725444252362219,0.6637214066590919,0.9463954930919806
CL,249,0.47523101264599044,0.7143522637217314,0.8450749741216474,0.4731809263250275,0.7179105878689006,0.8435277081927909
MMC,249,0.46277800079980935,0.6592298232756922,0.9720851777888635,0.47350962870746816,0.6678743420683075,0.9713482804157229
WFC,249,0.4730719409124479,0.7014785575248512,0.9612906638654858,0.47408005824421523,0.6986167044418108,0.961605867955071
NTAP,249,0.47831726557518905,0.7893034653032214,0.9889747078103702,0.4741795934059899,0.7845237906389918,0.9891078321565507
PAYX,249,0.46337031876275325,0.6180340064487012,0.9789026440303316,0.47450388219990736,0.6284929007445026,0.9781825475013054
PKI,249,0.47407988024491576,0.71662304101102,0.9893157678016351,0.47519078494284683,0.717013151740609,0.9893041322056151
APH,249,0.483504305667262,0.6443000158899569,0.9928806896958711,0.4803935221426431,0.6411491202398514,0.9929501522192401
PLD,249,0.47779121344949677,0.6375869554342867,0.9855765604498757,0.4813296757812835,0.6408762618467325,0.9854273557300183
ZION,249,0.48013928957263197,0.6322984906869505,0.9730394302382143,0.4821173414772027,0.6358473583771946,0.9727359406556013
EVHC,57,0.48078892648810206,0.6171489866704003,0.9274656532627549,0.4821653839253672,0.6157115387654736,0.9278031501137801
FBHS,249,0.48429521404897385,0.6913734920438789,0.9580333623860309,0.4821726928194403,0.686474992386538,0.9586259373122623
XOM,249,0.4879219593709474,0.7297810366106848,0.9098114230269523,0.48287508254220135,0.729248665351837,0.9099429591753174
A,249,0.48069785837348794,0.6874270274102836,0.9884607612798784,0.48293642007685916,0.689451459949864,0.9883926964324464
IP,249,0.4760256000780109,0.6339718236618459,0.9613257200429433,0.4829561463253775,0.6408567056145322,0.9604811598728424
MET,249,0.4811798101650363,0.7493759726731263,0.8938552086118857,0.4832677224581022,0.750034914800899,0.8936684558241246
TWX,249,0.4761374529521523,0.781532692363828,0.9637214120424136,0.4833158501384925,0.7809732151979746,0.9637733350821808
MRK,249,0.4873029379253006,1.0672517020709504,0.9079655047360103,0.4861480928951696,1.0629735469720947,0.9087018796346518
D,249,0.4796598164463723,0.6579569404486346,0.9227594137849626,0.4864593035044757,0.6612906541963597,0.9219747109288257
PCG,249,0.48650000207940614,0.91515102545808,0.9890610346368351,0.48751028034706106,0.9111187407987841,0.9891572195193464
EMR,249,0.4871864614698521,0.6584984129006874,0.9768259147129152,0.48958458692492074,0.6638866859433323,0.976445111435577
RHI,249,0.48743781497678634,0.7023742060002753,0.970325627920259,0.4902941813289422,0.7027524808557143,0.9702936560983073
FIS,249,0.4894855518250227,0.7176752013371884,0.9849980888408673,0.4933712406656771,0.7212160447614536,0.984849691744684
ED,249,0.49264899380415256,0.6123541307180401,0.9712058030706794,0.49507525133109365,0.6161115231518602,0.9708513577540936
VTR,249,0.49466634698946116,0.6587197440436167,0.9711620859667284,0.49634689080021827,0.6679854771475503,0.9703450960327353
BMY,249,0.4952065102122637,0.712368245487867,0.9647504957097173,0.4997549484660075,0.7119809670374218,0.9647888120235273
TSS,249,0.5015857287797532,0.7334143336628958,0.9942851479508674,0.5010663112943763,0.7386016513318954,0.994204021668356
MO,249,0.5034332608039199,0.7904596611669569,0.9686516309552708,0.5018379406902905,0.79338889056287,0.9684188633370703
KORS,249,0.5064227289191745,0.9133596032376361,0.9926765075920667,0.5055355343802606,0.910159268307569,0.9927277394765173
FAST,249,0.5072078269132932,0.7260428277182859,0.9728247792340271,0.5063578335996198,0.7262954624482033,0.9728058640991516
HCN,249,0.5024161607952721,0.6746141501575417,0.9769994217826076,0.5068160472654554,0.6771814806336918,0.9768240253823364
CPB,249,0.5072074587164994,0.7760515984071312,0.9753824147682265,0.511937684737434,0.7752904805148915,0.9754306788178295
BWA,249,0.5101591726167641,0.697212461085655,0.9835395203111398,0.5133451927930002,0.7017466334424727,0.983324729723119
PFG,249,0.5099802419311934,0.7700092509878269,0.9507358188351867,0.5139466504928478,0.773113707540687,0.9503377799494052
CCL,249,0.5218485118733845,0.7086886199028175,0.9691641825602446,0.5219649132466659,0.7080268038339492,0.9692217483513825
VIAB,249,0.5217251694725258,0.7689274561138214,0.9856813581846771,0.52231308332042,0.7730882838553196,0.9855259765696234
DHR,246,0.5299397793686603,0.8173194353879385,0.9777374567867648,0.5232370720713249,0.8136544492402557,0.9779366664803482
